Domain,Area,Element,Item,Year,Unit,Value
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2009","kg/ha","17.889"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2010","kg/ha","18.149"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2011","kg/ha","18.397"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2012","kg/ha","18.397"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2013","kg/ha","18.397"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2014","kg/ha","18.397"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2015","kg/ha","18.397"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2016","kg/ha","18.397"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2017","kg/ha","18.397"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Atmospheric Deposition","2018","kg/ha","18.8102"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2000","tonnes","1018035.1287"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2001","tonnes","945832.0956"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2002","tonnes","932084.309"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2003","tonnes","964736.2645"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2004","tonnes","1128909.1868"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2005","tonnes","1125916.978"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2006","tonnes","1110128.4286"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2007","tonnes","1140793.7337"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2008","tonnes","1141770.5592"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2009","tonnes","1215629.6632"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2010","tonnes","1116092.7185"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2011","tonnes","1259951.0661"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2012","tonnes","1193218.1425"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2013","tonnes","1246426.3796"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2014","tonnes","1313641.7851"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2015","tonnes","1176395.2275"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2016","tonnes","1235217.4102"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2017","tonnes","1314485.3505"
"Soil nutrient budget","Pakistan","Cropland nutrient flow","Crop Removal","2018","tonnes","1203326.9125"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Crop Removal","2000","kg/ha","32.1167"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Crop Removal","2001","kg/ha","29.5831"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Crop Removal","2002","kg/ha","29.2336"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Crop Removal","2003","kg/ha","30.2976"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Crop Removal","2004","kg/ha","36.3636"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Crop Removal","2005","kg/ha","36.361"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Crop Removal","2006","kg/ha","35.6553"
"Soil nutrient budget","Pakistan","Cropland nutrient flow per unit area","Crop Removal","2007","kg/ha","36.7844"
